n,Position,Operation,Array Time ms,Array Movements,Array Complexity,List Time ms,List Accesses,List Complexity
100,beginning,insert,4.463,599500,O(n),0.096,0,O(1)
100,beginning,remove,0.113,4950,O(n),0.013,0,O(1)
100,middle,insert,1.299,549500,O(n),0.241,49000,O(n)
100,middle,remove,0.047,2450,O(n),0.020,2401,O(n)
1000,beginning,insert,2.072,1499500,O(n),0.050,0,O(1)
1000,beginning,remove,0.734,499500,O(n),0.068,0,O(1)
1000,middle,insert,1.204,999500,O(n),1.030,499000,O(n)
1000,middle,remove,0.314,249500,O(n),0.510,249001,O(n)
10000,beginning,insert,14.328,10499500,O(n),0.024,0,O(1)
10000,beginning,remove,11.940,9499500,O(n),0.029,0,O(1)
10000,middle,insert,7.808,5499500,O(n),12.635,4999000,O(n)
10000,middle,remove,6.444,4749500,O(n),11.162,4749000,O(n)
100000,beginning,insert,175.123,100499500,O(n),0.016,0,O(1)
100000,beginning,remove,175.444,99499500,O(n),0.007,0,O(1)
100000,middle,insert,76.315,50499500,O(n),154.218,49999000,O(n)
100000,middle,remove,78.680,49749500,O(n),129.481,49749000,O(n)
